"YEAR_MONTH","REGION_NAME","ITEMS","COST"
202401,"LONDON",874851,2180806.08
202401,"MIDLANDS",1468865,3518404.02
202401,"NORTH EAST AND YORKSHIRE",1700001,3500228.64
202401,"NORTH WEST",1150915,2558788.36
202401,"SOUTH EAST",961113,2817450.39
202401,"SOUTH WEST",736847,1822422.53
202402,"EAST OF ENGLAND",830214,1996153.95
202402,"LONDON",820522,2065819.67
202402,"MIDLANDS",1382798,3407323.36
202402,"NORTH EAST AND YORKSHIRE",1591286,3375987.84
202402,"NORTH WEST",1088959,2476308.05
202402,"SOUTH EAST",902720,2716382.27
202402,"SOUTH WEST",688766,1764929.75
202403,"EAST OF ENGLAND",851517,2044809.73
202403,"LONDON",829749,2094766.54
202403,"MIDLANDS",1401977,3437732.27
202403,"NORTH EAST AND YORKSHIRE",1619455,3419508.08
202403,"NORTH WEST",1105425,2501343.6
202403,"SOUTH EAST",920028,2770691.51
202403,"SOUTH WEST",705032,1786628.36
202404,"EAST OF ENGLAND",877564,2068223.18
202404,"LONDON",812786,2002873.76
202404,"MIDLANDS",1463251,3462845.24
202404,"NORTH EAST AND YORKSHIRE",1702666,3454456.7
202404,"NORTH WEST",1146787,2547149.32
202404,"SOUTH EAST",952827,2802987.22
202404,"SOUTH WEST",721412,1811132.86
202405,"EAST OF ENGLAND",887608,2113904.55
202405,"LONDON",895783,2265307.06
202405,"MIDLANDS",1479385,3584992.3
202405,"NORTH EAST AND YORKSHIRE",1748631,3627392.33
202405,"NORTH WEST",1168236,2623500.64
202405,"SOUTH EAST",956035,2861563.98
202405,"SOUTH WEST",729672,1831359.93
202406,"EAST OF ENGLAND",837655,2059224.17
202406,"LONDON",778572,2066034.07
202406,"MIDLANDS",1377725,3457225.45
202406,"NORTH EAST AND YORKSHIRE",1640978,3530608.66
202406,"NORTH WEST",1085856,2536959.49
202406,"SOUTH EAST",906129,2763909.08
202406,"SOUTH WEST",694289,1792348.17
202407,"EAST OF ENGLAND",904184,2518115.41
202407,"LONDON",851231,2444930.81
202407,"MIDLANDS",1509040,4225141.81
202407,"NORTH EAST AND YORKSHIRE",1817771,4348503.54
202407,"NORTH WEST",1180583,3061141.48
202407,"SOUTH EAST",979918,3336388.23
202407,"SOUTH WEST",740218,2137403.81
202408,"EAST OF ENGLAND",876012,2294505.89
202408,"LONDON",797911,2122417.88
202408,"MIDLANDS",1452388,3818999.59
202408,"NORTH EAST AND YORKSHIRE",1744119,3863363.7
202408,"NORTH WEST",1140818,2776821.08
202408,"SOUTH EAST",942348,2959024.23
202408,"SOUTH WEST",716403,1934030.32
202409,"EAST OF ENGLAND",856792,2160176.13
202409,"LONDON",790081,2037056.1
202409,"MIDLANDS",1424872,3577814
202409,"NORTH EAST AND YORKSHIRE",1721054,3653369.95
202409,"NORTH WEST",1114092,2587202.94
202409,"SOUTH EAST",926796,2805549.3
202409,"SOUTH WEST",700434,1806278.03
202410,"EAST OF ENGLAND",904789,2207315.05
202410,"LONDON",831273,2058144.65
202410,"MIDLANDS",1515794,3650020.71
202410,"NORTH EAST AND YORKSHIRE",1845998,3766629.55
202410,"NORTH WEST",1196871,2687352.76
202410,"SOUTH EAST",972188,2852364.46
202410,"SOUTH WEST",746315,1883877.39
